ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,Year,Half,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,ROA,Total_Assets,Total_Revenue,Total_Liabilities,Net_Income,E_Dummy,S_Dummy,G_Dummy
LCID,US5494981039,US,2023,H2,8.6,1.4333333333333333,5.7,-33.2258157735285,8512.718,595.271,3661.026,-2828.42,1,0,1
LCID,US5494981039,US,2024,H1,8.7,1.3,5.7,-33.2258157735285,8512.718,595.271,3661.026,-2828.42,1,0,1
LCII,US50189K1034,US,2018,H1,3.2000000000000006,4.6,6.2,11.94242591605548,1243.893,2475.807,537.638,148.551,0,1,1
LCII,US50189K1034,US,2018,H2,1.0533333333333335,4.433333333333334,5.193333333333333,11.94242591605548,1243.893,2475.807,537.638,148.551,0,1,1
LCII,US50189K1034,US,2019,H1,0.03,4.4,2.8633333333333333,11.94242591605548,1243.893,2475.807,537.638,148.551,0,1,0
LCII,US50189K1034,US,2019,H2,0.9866666666666667,4.566666666666667,5.466666666666666,7.865853822221148,1862.595,2371.482,1061.923,146.509,0,1,1
LCII,US50189K1034,US,2020,H1,2.9,4.866666666666667,6.233333333333333,7.865853822221148,1862.595,2371.482,1061.923,146.509,0,1,1
LCII,US50189K1034,US,2020,H2,2.9,4.8,5.949999999999999,6.894598027615816,2298.031,2796.166,1389.705,158.44,0,1,1
LCII,US50189K1034,US,2021,H1,2.9,5.1000000000000005,5.266666666666667,6.894598027615816,2298.031,2796.166,1389.705,158.44,0,1,1
LCII,US50189K1034,US,2021,H2,2.9,5.7,3.683333333333333,8.750935952560965,3288.094,4472.697,2195.219,287.739,0,1,0
LCII,US50189K1034,US,2022,H1,2.9,5.7,2.5416666666666665,8.750935952560965,3288.094,4472.697,2195.219,287.739,0,1,0
LCII,US50189K1034,US,2022,H2,2.316666666666667,6.300000000000001,2.0066666666666664,12.164604399503283,3246.912,5207.143,1865.904,394.974,0,1,0
LCII,US50189K1034,US,2023,H1,2.2,6.400000000000001,5.093333333333333,12.164604399503283,3246.912,5207.143,1865.904,394.974,0,1,1
LCII,US50189K1034,US,2023,H2,2.5333333333333337,6.400000000000001,3.0799999999999996,2.1692490738578702,2959.319,3784.808,1604.283,64.195,0,1,0
LCII,US50189K1034,US,2024,H1,2.6,6.400000000000001,0.06,2.1692490738578702,2959.319,3784.808,1604.283,64.195,0,1,0
LEA,US5218652049,US,2018,H1,4.033333333333334,1.8166666666666667,6.233333333333333,9.911470859517097,11600.7,21148.5,7082.0,1149.8,0,0,1
LEA,US5218652049,US,2018,H2,3.2000000000000006,2.983333333333333,6.666666666666667,9.911470859517097,11600.7,21148.5,7082.0,1149.8,0,0,1
LEA,US5218652049,US,2019,H1,3.1666666666666665,3.1999999999999997,6.75,9.911470859517097,11600.7,21148.5,7082.0,1149.8,0,0,1
LEA,US5218652049,US,2019,H2,3.1,2.7999999999999994,7.099999999999999,5.9428895881142205,12680.7,19810.3,8061.2,753.6,0,0,1
LEA,US5218652049,US,2020,H1,3.0,2.9499999999999997,6.783333333333334,5.9428895881142205,12680.7,19810.3,8061.2,753.6,0,0,1
LEA,US5218652049,US,2020,H2,3.3000000000000003,3.233333333333333,6.766666666666667,1.2008849423423695,13198.6,17045.5,8583.7,158.5,0,0,1
LEA,US5218652049,US,2021,H1,3.5,3.3166666666666664,5.716666666666666,1.2008849423423695,13198.6,17045.5,8583.7,158.5,0,0,1
